"waterbody_segment","pollutant_name","pollutant_group","test_fraction","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance"
"DUMBARTON OAKS","CHRYSENE","PAH2",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","DIBENZO_A_H_ANTHRACENE","PAH3",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","DIELDRIN","DIELDRIN",NA,15,2021,14,"2021",14,0,0,14,NA,"Never",NA,"Never",2021-06-17,"2021",NA,NA,0
"DUMBARTON OAKS","FLUORANTHENE","PAH2",NA,16,2021,1,"2020",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","FLUORENE","PAH1",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,15,2021,11,"2021",14,5,0,11,2021-04-15,"2021",NA,"Never",2021-04-15,"2021",2,NA,2
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE","PAH3",NA,15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","NAPHTHALENE","PAH1",NA,16,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DUMBARTON OAKS","PCB_TOTAL","PCB_TOTAL",NA,7,2021,7,"2021",6,1,0,7,2020-06-11,"2020",NA,"Never",2021-06-17,"2021",4,NA,0
"DUMBARTON OAKS","PYRENE","PAH2",NA,16,2021,1,"2020",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","4_4_DDE","DDE",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","4_4_DDT","DDT",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"FENWICK BRANCH","ACENAPHTHENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","ANTHRACENE","PAH1",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
