"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"DALECARLIA TRIBUTARY","ZINC","TOTAL","","","24","0","2002","7","2001","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","ZINC","TOTAL","","","24","13","2021","12","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FENWICK BRANCH","ZINC","TOTAL","","","11","0","2002","2","2001","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","ZINC","TOTAL","","","31","16","2021","26","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","ZINC","TOTAL","","","43","16","2021","32","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","ZINC","TOTAL","","","28","1","2017","20","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","ZINC","TOTAL","","","65","15","2019","55","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","ZINC","TOTAL","","","9","0","2002","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","ZINC","TOTAL","","","8","0","2002","3","2002","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","ZINC","TOTAL","","","23","13","2021","7","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","ZINC","TOTAL","","","16","3","2019","15","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","ZINC","TOTAL","","","10","0","2002","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
