"site_summary_segment","group_lower","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"Potomac Middle","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Upper","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Rock Creek Lower","dde","","",13,13,2021,2,"2020",2,2020,6,"Yes","2018 - 2021"
"Rock Creek Upper","dde","","",38,21,2021,0,"never",0,NA,NA,NA,NA
"Soapstone Creek","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Texas Avenue Tributary","dde","","",6,3,2019,2,"2014",2,2014,3,NA,NA
"Tidal Basin","dde","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","dde","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"Watts Banch","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watts Branch","dde","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Watts Branch - Upper","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Anacostia Lower","ddt","","",59,43,2021,6,"2018",6,2018,15,"Yes","2016 - 2019"
"Anacostia Upper","ddt","","",116,97,2021,14,"2018",14,2018,35,"Yes","2018 - 2021"
"Battery Kemble Creek","ddt","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Branch","ddt","","",14,13,2021,2,"2021",2,2021,3,"Yes","2018 - 2021"
"C&O Canal","ddt","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalecarlia Tributary","ddt","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Dumbarton Oaks Tributary","ddt","","",14,13,2021,3,"2020",3,2020,9,"Yes","2018 - 2021"
"Fenwick Branch","ddt","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Fort Chaplin Tributary","ddt","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Davis Tributary","ddt","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Dupont Tributary","ddt","","",13,13,2021,1,"2020",1,2020,9,"No","Never"
"Fort Stanton Tributary","ddt","","",16,13,2021,0,"never",0,NA,NA,NA,NA
"Foundry Branch","ddt","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hickey Run","ddt","","",5,2,2019,0,"never",0,NA,NA,NA,NA
"Kingman Lake","ddt","","",24,15,2019,4,"2018",4,2018,1,"Yes","2016 - 2019"
"Klingle Valley Branch","ddt","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Lower Beaverdam Creek","ddt","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzon Branch","ddt","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Mataponi Creek","ddt","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","ddt","","",14,13,2021,2,"2020",2,2020,10,"Yes","2018 - 2021"
"Nash Run","ddt","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Normanstone Creek","ddt","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Oxon Run","ddt","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Patuxent River","ddt","","",13,13,2021,3,"2020",0,NA,NA,NA,NA
"Pinehurst Branch","ddt","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Piney Branch","ddt","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Pope Branch","ddt","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Portal Branch","ddt","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Potomac Lower","ddt","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Middle","ddt","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Upper","ddt","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Rock Creek Lower","ddt","","",13,13,2021,1,"2020",1,2020,6,"No","Never"
"Rock Creek Upper","ddt","","",21,21,2021,0,"never",0,NA,NA,NA,NA
"Soapstone Creek","ddt","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Texas Avenue Tributary","ddt","","",6,3,2019,1,"2014",1,2014,3,NA,NA
"Tidal Basin","ddt","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","ddt","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"Watts Banch","ddt","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watts Branch","ddt","","",6,3,2019,1,"2018",1,2018,1,"No","Never"
"Watts Branch - Upper","ddt","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Anacostia Lower","dieldrin","","",59,43,2021,1,"2020",1,2020,12,NA,NA
"Anacostia Upper","dieldrin","","",116,97,2021,23,"2021",23,2021,2,"Yes","2018 - 2021"
"Battery Kemble Creek","dieldrin","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
