"waterbody_segment","pollutant_group","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"POPE BRANCH","DDT","","",7,4,2019,0,"never",0,NA,NA,NA,NA
"PORTAL BRANCH","DDT","","",2,NA,2013,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","DDT","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC MIDDLE","DDT","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC UPPER","DDT","","",13,13,2021,1,"2021",1,2021,0,NA,NA
"ROCK CREEK LOWER","DDT","","",13,13,2021,1,"2020",1,2020,6,NA,NA
"ROCK CREEK UPPER","DDT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOAPSTONE CREEK","DDT","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","DDT","","",6,3,2019,1,"2014",1,2014,3,NA,NA
"TIDAL BASIN","DDT","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","DDT","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","DDT","","",7,4,2019,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","DDT","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"ANACOSTIA LOWER","DIELDRIN","","",52,40,2021,2,"2021",2,2021,0,"Yes","2018 - 2021"
"ANACOSTIA UPPER","DIELDRIN","","",105,86,2019,38,"2019",38,2019,0,"Yes","2018 - 2021"
"BATTERY KEMBLE CREEK","DIELDRIN","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","DIELDRIN","","",14,13,2021,9,"2021",9,2021,0,"Yes","2018 - 2021"
"C&O CANAL","DIELDRIN","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","DIELDRIN","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"DUMBARTON OAKS","DIELDRIN","","",15,13,2021,14,"2021",14,2021,0,"Yes","2018 - 2021"
"FENWICK BRANCH","DIELDRIN","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"FORT CHAPLIN TRIBUTARY","DIELDRIN","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","DIELDRIN","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","DIELDRIN","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","DIELDRIN","","",17,13,2021,0,"never",0,NA,NA,NA,NA
"FOUNDRY BRANCH","DIELDRIN","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","DIELDRIN","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"KINGMAN LAKE","DIELDRIN","","",25,15,2019,2,"2018",2,2018,2,"Yes","2016 - 2019"
"KLINGLE VALLEY","DIELDRIN","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"LUZON BRANCH","DIELDRIN","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN","","",14,13,2021,9,"2021",9,2021,0,"Yes","2018 - 2021"
"NASH RUN","DIELDRIN","","",7,3,2019,1,"2014",1,2014,3,NA,NA
"NORMANSTONE CREEK","DIELDRIN","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"OXON RUN","DIELDRIN","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"PINEHURST BRANCH","DIELDRIN","","",2,NA,2013,2,"2013",2,2013,0,NA,NA
"PINEY BRANCH","DIELDRIN","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
